PRO ID 	Category 	

PR:000003534	gene
PR:000003529	gene
PR:000002340	sequence
PR:000002339	sequence
PR:000002257	sequence
PR:000002250	sequence
PR:000002248	sequence
PR:000002247	sequence
PR:000002246	sequence
PR:000002245	sequence
PR:000002244	sequence
PR:000002209	gene
PR:000002208	gene
PR:000002182	gene
PR:000002180	gene
PR:000002179	gene
PR:000002178	gene
PR:000002177	gene
PR:000002176	gene
PR:000000181	sequence
PR:000000180	sequence
PR:000000177	sequence
PR:000000045	gene
PR:000000043	gene

PR:000005157	gene
PR:000005153	gene
PR:000005152	gene
PR:000005151	gene
PR:000005130	gene
PR:000005045	gene
PR:000004862	gene
PR:000004861	gene
PR:000004835	gene
PR:000004812	gene
PR:000004776	gene
PR:000004684	gene
PR:000004016	gene
PR:000004014	gene
PR:000003943	gene
PR:000003942	gene
PR:000003937	gene
PR:000003915	gene
PR:000003854	gene
PR:000003794	gene
PR:000003610	gene
PR:000003591	gene
PR:000003568	gene
PR:000003552	gene

PR:000006147	gene
PR:000006059	gene
PR:000005978	gene
PR:000005929	gene
PR:000005852	gene
PR:000005829	gene
PR:000005826	gene
PR:000005737	gene
PR:000005734	gene
PR:000005687	gene
PR:000005624	gene
PR:000005598	gene
PR:000005489	gene
PR:000005488	gene
PR:000005372	gene
PR:000005265	gene
PR:000005251	gene
PR:000005218	gene
PR:000005215	gene
PR:000005204	gene
PR:000005195	gene
PR:000005190	gene
PR:000005187	gene
PR:000005183	gene

PR:000006963	gene
PR:000006905	gene
PR:000006760	gene
PR:000006685	gene
PR:000006656	gene
PR:000006643	gene
PR:000006635	gene
PR:000006554	gene
PR:000006498	gene
PR:000006491	gene
PR:000006473	gene
PR:000006472	gene
PR:000006461	gene
PR:000006455	gene
PR:000006377	gene
PR:000006370	gene
PR:000006369	gene
PR:000006368	gene
PR:000006356	gene
PR:000006352	gene
PR:000006347	gene
PR:000006319	gene
PR:000006281	gene
PR:000006266	gene

PR:000007448	gene
PR:000007433	gene
PR:000007427	gene
PR:000007347	gene
PR:000007346	gene
PR:000007266	gene
PR:000007262	gene
PR:000007261	gene
PR:000007259	gene
PR:000007256	gene
PR:000007252	gene
PR:000007214	gene
PR:000007165	gene
PR:000007164	gene
PR:000007015	gene
PR:000007007	gene
PR:000007006	gene
PR:000007002	gene
PR:000006988	gene
PR:000006981	gene
PR:000006979	gene
PR:000006973	gene
PR:000006971	gene
PR:000006964	gene

PR:000008316	gene
PR:000008313	gene
PR:000008310	gene
PR:000008182	gene
PR:000008181	gene
PR:000008180	gene
PR:000008158	gene
PR:000008124	gene
PR:000008116	gene
PR:000008076	gene
PR:000008058	gene
PR:000008024	gene
PR:000007985	gene
PR:000007984	gene
PR:000007983	gene
PR:000007982	gene
PR:000007940	gene
PR:000007893	gene
PR:000007659	gene
PR:000007591	gene
PR:000007453	gene
PR:000007452	gene
PR:000007451	gene
PR:000007449	gene

PR:000010242	gene
PR:000010091	gene
PR:000009971	gene
PR:000009969	gene
PR:000009963	gene
PR:000009962	gene
PR:000009800	gene
PR:000009675	gene
PR:000009674	gene
PR:000009449	gene
PR:000009276	gene
PR:000009241	gene
PR:000009016	gene
PR:000009015	gene
PR:000008876	gene
PR:000008828	gene
PR:000008824	gene
PR:000008769	gene
PR:000008623	gene
PR:000008617	gene
PR:000008497	gene
PR:000008336	gene
PR:000008327	gene
PR:000008319	gene

PR:000011203	gene
PR:000011202	gene
PR:000011081	gene
PR:000011057	gene
PR:000011050	gene
PR:000011024	gene
PR:000011022	gene
PR:000010995	gene
PR:000010958	gene
PR:000010786	gene
PR:000010785	gene
PR:000010600	gene
PR:000010574	gene
PR:000010548	gene
PR:000010540	gene
PR:000010536	gene
PR:000010496	gene
PR:000010306	gene
PR:000010305	gene
PR:000010280	gene
PR:000010249	gene
PR:000010248	gene
PR:000010247	gene
PR:000010243	gene

PR:000012421	gene
PR:000012034	gene
PR:000012033	gene
PR:000012031	gene
PR:000012029	gene
PR:000011534	gene
PR:000011533	gene
PR:000011530	gene
PR:000011500	gene
PR:000011477	gene
PR:000011476	gene
PR:000011449	gene
PR:000011442	gene
PR:000011325	gene
PR:000011324	gene
PR:000011322	gene
PR:000011312	gene
PR:000011307	gene
PR:000011304	gene
PR:000011302	gene
PR:000011300	gene
PR:000011280	gene
PR:000011219	gene
PR:000011216	gene

PR:000012963	gene
PR:000012961	gene
PR:000012911	gene
PR:000012881	gene
PR:000012738	gene
PR:000012735	gene
PR:000012713	gene
PR:000012709	gene
PR:000012707	gene
PR:000012706	gene
PR:000012703	gene
PR:000012702	gene
PR:000012701	gene
PR:000012700	gene
PR:000012699	gene
PR:000012698	gene
PR:000012695	gene
PR:000012693	gene
PR:000012684	gene
PR:000012652	gene
PR:000012624	gene
PR:000012617	gene
PR:000012588	gene
PR:000012552	gene

PR:000013216	gene
PR:000013215	gene
PR:000013130	gene
PR:000013065	gene
PR:000013026	gene
PR:000013025	gene
PR:000013024	gene
PR:000013009	gene
PR:000013005	gene
PR:000013003	gene
PR:000013002	gene
PR:000012999	gene
PR:000012998	gene
PR:000012994	gene
PR:000012993	gene
PR:000012992	gene
PR:000012991	gene
PR:000012989	gene
PR:000012987	gene
PR:000012984	gene
PR:000012982	gene
PR:000012970	gene
PR:000012969	gene
PR:000012964	gene

PR:000013504	gene
PR:000013390	gene
PR:000013389	gene
PR:000013387	gene
PR:000013386	gene
PR:000013384	gene
PR:000013383	gene
PR:000013382	gene
PR:000013380	gene
PR:000013379	gene
PR:000013378	gene
PR:000013372	gene
PR:000013369	gene
PR:000013365	gene
PR:000013364	gene
PR:000013362	gene
PR:000013361	gene
PR:000013360	gene
PR:000013287	gene
PR:000013283	gene
PR:000013282	gene
PR:000013279	gene
PR:000013278	gene
PR:000013277	gene

PR:000014254	gene
PR:000014245	gene
PR:000014240	gene
PR:000014237	gene
PR:000014230	gene
PR:000014213	gene
PR:000014209	gene
PR:000014186	gene
PR:000014144	gene
PR:000014019	gene
PR:000013999	gene
PR:000013919	gene
PR:000013911	gene
PR:000013909	gene
PR:000013908	gene
PR:000013905	gene
PR:000013837	gene
PR:000013833	gene
PR:000013793	gene
PR:000013735	gene
PR:000013717	gene
PR:000013654	gene
PR:000013561	gene
PR:000013505	gene

PR:000014908	gene
PR:000014853	gene
PR:000014737	gene
PR:000014733	gene
PR:000014730	gene
PR:000014639	gene
PR:000014638	gene
PR:000014600	gene
PR:000014598	gene
PR:000014575	gene
PR:000014500	gene
PR:000014479	gene
PR:000014472	gene
PR:000014459	gene
PR:000014444	gene
PR:000014431	gene
PR:000014369	gene
PR:000014368	gene
PR:000014310	gene
PR:000014308	gene
PR:000014280	gene
PR:000014275	gene
PR:000014271	gene
PR:000014264	gene

PR:000016346	gene
PR:000016343	gene
PR:000016278	gene
PR:000016036	gene
PR:000016029	gene
