Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P24534	EF1B_HUMAN	reviewed	Elongation factor 1-beta (EF-1-beta)	EEF1B2 EEF1B EF1B	Homo sapiens (Human)	225
Q9BT22	ALG1_HUMAN	reviewed	"Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)"	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870	Homo sapiens (Human)	464
P19388	RPAB1_HUMAN	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)"	POLR2E	Homo sapiens (Human)	210
O95801	TTC4_HUMAN	reviewed	Tetratricopeptide repeat protein 4 (TPR repeat protein 4)	TTC4 My044	Homo sapiens (Human)	387
Q9H3H5	GPT_HUMAN	reviewed	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase)	DPAGT1 DPAGT2	Homo sapiens (Human)	408
Q13895	BYST_HUMAN	reviewed	Bystin	BYSL	Homo sapiens (Human)	437
P33316	DUT_HUMAN	reviewed	"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)"	DUT	Homo sapiens (Human)	252
O95707	RPP29_HUMAN	reviewed	Ribonuclease P protein subunit p29 (hPOP4) (EC 3.1.26.5)	POP4 RPP29	Homo sapiens (Human)	220
Q06136	KDSR_HUMAN	reviewed	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)	KDSR FVT1 SDR35C1	Homo sapiens (Human)	332
Q13601	KRR1_HUMAN	reviewed	KRR1 small subunit processome component homolog (HIV-1 Rev-binding protein 2) (KRR-R motif-containing protein 1) (Rev-interacting protein 1) (Rip-1)	KRR1 HRB2	Homo sapiens (Human)	381
P62191	PRS4_HUMAN	reviewed	26S protease regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	PSMC1	Homo sapiens (Human)	440
P63279	UBC9_HUMAN	reviewed	SUMO-conjugating enzyme UBC9 (EC 6.3.2.-) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158
P55072	TERA_HUMAN	reviewed	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	Homo sapiens (Human)	806
P50747	BPL1_HUMAN	reviewed	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	HLCS	Homo sapiens (Human)	726
O00232	PSD12_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	Homo sapiens (Human)	456
P05423	RPC4_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (DNA-directed RNA polymerase III subunit D) (Protein BN51) (RNA polymerase III 47 kDa subunit) (RPC53 homolog)	POLR3D BN51 BN51T	Homo sapiens (Human)	398
P18858	DNLI1_HUMAN	reviewed	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	LIG1	Homo sapiens (Human)	919
Q16594	TAF9_HUMAN	reviewed	Transcription initiation factor TFIID subunit 9 (RNA polymerase II TBP-associated factor subunit G) (STAF31/32) (Transcription initiation factor TFIID 31 kDa subunit) (TAFII-31) (TAFII31) (Transcription initiation factor TFIID 32 kDa subunit) (TAFII-32) (TAFII32)	TAF9 TAF2G TAFII31	Homo sapiens (Human)	264
P08397	HEM3_HUMAN	reviewed	Porphobilinogen deaminase (PBG-D) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	HMBS PBGD UPS	Homo sapiens (Human)	361
Q9NX24	NHP2_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
Q9Y584	TIM22_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim22 (Testis-expressed sequence 4)	TIMM22 TEX4 TIM22	Homo sapiens (Human)	194
P38919	IF4A3_HUMAN	reviewed	"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]"	EIF4A3 DDX48 KIAA0111	Homo sapiens (Human)	411
P49591	SYSC_HUMAN	reviewed	"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	SARS SERS	Homo sapiens (Human)	514
Q15046	SYK_HUMAN	reviewed	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	KARS KIAA0070	Homo sapiens (Human)	597
P36551	HEM6_HUMAN	reviewed	"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)"	CPOX CPO CPX	Homo sapiens (Human)	454
Q9Y2Y1	RPC10_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC10 (RNA polymerase III subunit C10) (DNA-directed RNA polymerase III subunit K) (RNA polymerase III 12.5 kDa subunit) (RPC12.5) (RNA polymerase III subunit C11) (HsC11p) (RPC11) (hRPC11)	POLR3K RPC11 My010	Homo sapiens (Human)	108
P60174	TPIS_HUMAN	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)	286
P35638	DDIT3_HUMAN	reviewed	DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153)	DDIT3 CHOP CHOP10 GADD153	Homo sapiens (Human)	169
P62277	RS13_HUMAN	reviewed	40S ribosomal protein S13	RPS13	Homo sapiens (Human)	151
P60059	SC61G_HUMAN	reviewed	Protein transport protein Sec61 subunit gamma	SEC61G	Homo sapiens (Human)	68
O95391	SLU7_HUMAN	reviewed	Pre-mRNA-splicing factor SLU7 (hSlu7)	SLU7	Homo sapiens (Human)	586
P61086	UBE2K_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 K (EC 6.3.2.19) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase)	UBE2K HIP2 LIG	Homo sapiens (Human)	200
Q8WVC6	DCAKD_HUMAN	reviewed	Dephospho-CoA kinase domain-containing protein	DCAKD	Homo sapiens (Human)	231
Q969G6	RIFK_HUMAN	reviewed	Riboflavin kinase (EC 2.7.1.26) (ATP:riboflavin 5'-phosphotransferase) (Flavokinase)	RFK	Homo sapiens (Human)	155
O76071	CIAO1_HUMAN	reviewed	Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39)	CIAO1 WDR39	Homo sapiens (Human)	339
Q06265	EXOS9_HUMAN	reviewed	Exosome complex component RRP45 (Autoantigen PM/Scl 1) (Exosome component 9) (P75 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 1) (Polymyositis/scleroderma autoantigen 75 kDa) (PM/Scl-75)	EXOSC9 PMSCL1	Homo sapiens (Human)	439
P08240	SRPR_HUMAN	reviewed	Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha)	SRPR	Homo sapiens (Human)	638
Q07326	PIGF_HUMAN	reviewed	Phosphatidylinositol-glycan biosynthesis class F protein (PIG-F) (GPI11 homolog)	PIGF	Homo sapiens (Human)	219
P62166	NCS1_HUMAN	reviewed	Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein)	NCS1 FLUP FREQ	Homo sapiens (Human)	190
P43686	PRS6B_HUMAN	reviewed	26S protease regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	PSMC4 MIP224 TBP7	Homo sapiens (Human)	418
P62487	RPB7_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)	POLR2G RPB7	Homo sapiens (Human)	172
Q9UNM6	PSD13_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	PSMD13	Homo sapiens (Human)	376
O75821	EIF3G_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	EIF3G EIF3S4	Homo sapiens (Human)	320
P51948	MAT1_HUMAN	reviewed	CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)	MNAT1 CAP35 MAT1 RNF66	Homo sapiens (Human)	309
P63165	SUMO1_HUMAN	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
P39656	OST48_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit) (EC 2.4.99.18)	DDOST KIAA0115 OST48 OK/SW-cl.45	Homo sapiens (Human)	456
P55769	NH2L1_HUMAN	reviewed	"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]"	NHP2L1	Homo sapiens (Human)	128
O95394	AGM1_HUMAN	reviewed	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)	PGM3 AGM1	Homo sapiens (Human)	542
P49721	PSB2_HUMAN	reviewed	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	PSMB2	Homo sapiens (Human)	201
Q9UG63	ABCF2_HUMAN	reviewed	ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)	ABCF2 HUSSY-18	Homo sapiens (Human)	623
P49720	PSB3_HUMAN	reviewed	Proteasome subunit beta type-3 (EC 3.4.25.1) (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	PSMB3	Homo sapiens (Human)	205
Q9Y4Z0	LSM4_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein) (GRP)	LSM4	Homo sapiens (Human)	139
Q9Y4Y9	LSM5_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm5	LSM5	Homo sapiens (Human)	91
Q96Q11	TRNT1_HUMAN	reviewed	"CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72) (Mitochondrial tRNA nucleotidyl transferase, CCA-adding) (mt CCA-adding enzyme) (mt tRNA CCA-diphosphorylase) (mt tRNA CCA-pyrophosphorylase) (mt tRNA adenylyltransferase)"	TRNT1 CGI-47	Homo sapiens (Human)	434
P18074	ERCC2_HUMAN	reviewed	TFIIH basal transcription factor complex helicase XPD subunit (EC 3.6.4.12) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	ERCC2 XPD XPDC	Homo sapiens (Human)	760
Q96EK6	GNA1_HUMAN	reviewed	Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)	GNPNAT1 GNA1	Homo sapiens (Human)	184
O00487	PSDE_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310
Q15738	NSDHL_HUMAN	reviewed	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170) (Protein H105e3)"	NSDHL H105E3	Homo sapiens (Human)	373
P60900	PSA6_HUMAN	reviewed	Proteasome subunit alpha type-6 (EC 3.4.25.1) (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)	PSMA6 PROS27	Homo sapiens (Human)	246
Q8IWL3	HSC20_HUMAN	reviewed	"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial (DnaJ homolog subfamily C member 20) (Hsc20)"	HSCB DNAJC20 HSC20	Homo sapiens (Human)	235
P62888	RL30_HUMAN	reviewed	60S ribosomal protein L30	RPL30	Homo sapiens (Human)	115
