MGI:101789	P37913
MGI:101845	P25206
MGI:101912	P61804
MGI:102685	A2A6Q5
MGI:102706	P53798
MGI:102725	Q63871
MGI:102809	P26638
MGI:102854	P47962
MGI:102956	Q03147
MGI:102964	P47758
MGI:103071	P46061
MGI:103197	P49718
MGI:103202	P54822
MGI:103254	P47968
MGI:103288	P52432
MGI:103575	Q9WTX5
MGI:104602	Q8K2Z2
MGI:104630	P32921
MGI:104683	Q61239
MGI:104689	P80315
MGI:104708	P80318
MGI:104724	Q61578
MGI:104841	P36552
MGI:104883	O70435
MGI:104884	O09061
MGI:104885	P49722
MGI:104888	Q920E5
MGI:105047	P62196
MGI:105380	P97310
MGI:105491	Q8VDP6
MGI:106040	Q8K0C4
MGI:106054	P62192
MGI:106207	P51949
MGI:106247	Q99KP6
MGI:106331	Q9CXU0
MGI:106572	Q8VHZ7
MGI:107183	P42932
MGI:107185	P80316
MGI:107365	P63280
MGI:107622	Q3TIX9
MGI:107624	Q9R008
MGI:107757	P56213
MGI:107889	Q9CRA8
MGI:107891	Q922K7
MGI:107912	Q08943
MGI:109166	Q8BNY6
MGI:109247	P35639
MGI:109296	P52019
MGI:109299	P97760
MGI:109353	P70362
MGI:109533	Q61102
MGI:109555	P46471
MGI:1096397	O35134
MGI:1096584	Q8VDM4
MGI:1097163	O35654
MGI:1097682	P97461
MGI:1097706	O35648
MGI:1098257	P99026
MGI:1098547	Q9CRB2
MGI:1098727	Q5NCF2
MGI:1098754	O88685
MGI:1098815	Q8BGZ4
MGI:1099431	O35704
MGI:1099438	Q9R1J0
MGI:1099786	O35286
MGI:1100515	Q91WV0
MGI:1100818	O35427
MGI:1194508	O54734
MGI:1195458	P61222
MGI:1196288	O55135
MGI:1196365	Q99LJ8
MGI:1196391	Q9WVF7
MGI:1196396	P42867
MGI:1197010	P63166
MGI:1197514	O54956
MGI:1202066	P60060
MGI:1202392	Q9WTK3
MGI:1202400	O55201
MGI:1277143	Q8VD76
MGI:1289274	Q8BGA5
MGI:1289326	Q9D3W4
MGI:1289341	Q921M3
MGI:1298227	P97311
MGI:1298398	Q61881
MGI:1306823	A2A4P0
MGI:1309511	Q9Z0H0
MGI:1315195	O35130
MGI:1328306	Q60862
MGI:1330239	O70152
MGI:1330262	Q62384
MGI:1333115	Q8K3A2
MGI:1334433	Q8BKC8
MGI:1336155	Q8BLN5
MGI:1336209	Q3TLI0
MGI:1338073	Q9Z1X9
MGI:1339951	Q9ERK4
MGI:1342299	Q9WTM5
MGI:1343262	O35857
