YAL003W	ENSP00000376056	ENSP00000236957
YBR110W	ENSP00000262374	ENSP00000262374
YBR154C	ENSP00000215587	ENSP00000464739
YBR155W	ENSP00000360329	ENSP00000360329
YBR243C	ENSP00000346142	ENSP00000386597
YBR247C	ENSP00000230340	ENSP00000230340
YBR252W	ENSP00000370376	ENSP00000370376
YBR254C	ENSP00000352708	ENSP00000392495
YBR257W	ENSP00000221770	ENSP00000465213
YBR265W	ENSP00000385083	ENSP00000385083
YCL059C	ENSP00000229214	ENSP00000229214
YDL007W	ENSP00000261303	ENSP00000261303
YDL064W	ENSP00000384361	ENSP00000384361
YDL126C	ENSP00000351777	ENSP00000351777
YDL141W	ENSP00000338387	ENSP00000338387
YDL147W	ENSP00000348442	ENSP00000348442
YDL150W	ENSP00000303088	ENSP00000303088
YDL164C	ENSP00000263274	ENSP00000263274
YDL166C	ENSP00000370201	ENSP00000370193
YDL205C	ENSP00000278715	ENSP00000278715
YDL208W	ENSP00000274606	ENSP00000274606
YDL217C	ENSP00000320236	ENSP00000320236
YDR021W	ENSP00000269349	ENSP00000269349
YDR023W	ENSP00000358939	ENSP00000358939
YDR037W	ENSP00000325448	ENSP00000325448
YDR044W	ENSP00000264193	ENSP00000264193
YDR045C	ENSP00000293860	ENSP00000293860
YDR050C	ENSP00000229270	ENSP00000229270
YDR060W	ENSP00000234170	ENSP00000234170
YDR064W	ENSP00000228140	ENSP00000435777
YDR086C	ENSP00000378906	ENSP00000378906
YDR088C	ENSP00000297151	ENSP00000297151
YDR177W	ENSP00000261427	ENSP00000261427
YDR196C	ENSP00000341504	ENSP00000413483
YDR236C	ENSP00000257452	ENSP00000365926
YDR267C	ENSP00000272402	ENSP00000418287
YDR280W	ENSP00000368984	ENSP00000368984
YDR292C	ENSP00000328023	ENSP00000328023
YDR302W	ENSP00000281382	ENSP00000281382
YDR373W	ENSP00000361475	ENSP00000470938
YDR394W	ENSP00000157812	ENSP00000157812
YDR404C	ENSP00000301788	ENSP00000301788
YDR427W	ENSP00000333811	ENSP00000396937
YDR429C	ENSP00000253108	ENSP00000253108
YDR460W	ENSP00000261245	ENSP00000261245
YDR510W	ENSP00000387204	ENSP00000405965
YEL002C	ENSP00000364188	ENSP00000364188
YEL026W	ENSP00000383989	ENSP00000383989
YEL058W	ENSP00000283977	ENSP00000425809
YER012W	ENSP00000362337	ENSP00000362334
YER036C	ENSP00000222388	ENSP00000222388
YER094C	ENSP00000225426	ENSP00000225426
YER112W	ENSP00000252816	ENSP00000469468
YER146W	ENSP00000223084	ENSP00000410758
YER168C	ENSP00000251607	ENSP00000251607
YER171W	ENSP00000375809	ENSP00000375809
YFL017C	ENSP00000216410	ENSP00000216410
YFR004W	ENSP00000386541	ENSP00000386541
YGL001C	ENSP00000359297	ENSP00000359297
YGL011C	ENSP00000261479	ENSP00000452603
YGL018C	ENSP00000216027	ENSP00000216027
YGL030W	ENSP00000379382	ENSP00000428085
YGL048C	ENSP00000310572	ENSP00000310572
YGL068W	ENSP00000333837	ENSP00000333837
YGL103W	ENSP00000346015	ENSP00000346015
YGL120C	ENSP00000336741	ENSP00000336741
YGR024C	ENSP00000231198	ENSP00000231198
YGR048W	ENSP00000382441	ENSP00000263202
YGR060W	ENSP00000261507	ENSP00000261507
YGR074W	ENSP00000300413	ENSP00000300413
YGR090W	ENSP00000297990	ENSP00000297990
YGR172C	ENSP00000367224	ENSP00000274496
YGR175C	ENSP00000265896	ENSP00000265896
YGR185C	ENSP00000362576	ENSP00000362576
YGR195W	ENSP00000315476	ENSP00000457865
YGR211W	ENSP00000227322	ENSP00000227322
YGR253C	ENSP00000271308	ENSP00000271308
YGR280C	ENSP00000318966	ENSP00000318966
YHR007C	ENSP00000003100	ENSP00000003100
YHR068W	ENSP00000210060	ENSP00000210060
YHR070W	ENSP00000261249	ENSP00000261249
YHR072W	ENSP00000348762	ENSP00000348762
YHR088W	ENSP00000359688	ENSP00000359688
YHR164C	ENSP00000382133	ENSP00000382133
YHR170W	ENSP00000307525	ENSP00000417559
YIL075C	ENSP00000309474	ENSP00000309474
YIL083C	ENSP00000361642	ENSP00000361642
YIL104C	ENSP00000315182	ENSP00000315182
YJL002C	ENSP00000296255	ENSP00000296255
YJL050W	ENSP00000230640	ENSP00000230640
YJL104W	ENSP00000315693	ENSP00000459955
YJR006W	ENSP00000223361	ENSP00000386105
YJR017C	ENSP00000247970	ENSP00000247970
YJR123W	ENSP00000196551	ENSP00000471388
YKL024C	ENSP00000360939	ENSP00000360939
YKL035W	ENSP00000338703	ENSP00000411803
YKL145W	ENSP00000292644	ENSP00000391211
YKL193C	ENSP00000385657	ENSP00000385657
YKR038C	ENSP00000206542	ENSP00000206542
YKR071C	ENSP00000349266	ENSP00000377914
YKR079C	ENSP00000337445	ENSP00000337445
YKR081C	ENSP00000357857	ENSP00000402338
YLL031C	ENSP00000339382	ENSP00000367880
YLR022C	ENSP00000246868	ENSP00000246868
YLR026C	ENSP00000294179	ENSP00000294179
YLR088W	ENSP00000347206	ENSP00000347206
YLR167W	ENSP00000383981	ENSP00000383981
YLR186W	ENSP00000261406	ENSP00000476966
YLR208W	ENSP00000373312	ENSP00000373312
YLR215C	ENSP00000281141	ENSP00000281141
YLR229C	ENSP00000337669	ENSP00000304283
YLR259C	ENSP00000340019	ENSP00000373620
YLR275W	ENSP00000342374	ENSP00000342374
YLR291C	ENSP00000266126	ENSP00000266126
YLR340W	ENSP00000339027	ENSP00000376299
YLR359W	ENSP00000216194	ENSP00000390107
YML069W	ENSP00000278412	ENSP00000278412
YML077W	ENSP00000302783	ENSP00000302783
YMR013C	ENSP00000361667	ENSP00000361667
YMR093W	ENSP00000296792	ENSP00000421669
YMR208W	ENSP00000376487	ENSP00000228510
YMR235C	ENSP00000385866	ENSP00000385866
YMR281W	ENSP00000225609	ENSP00000225609
YMR296C	ENSP00000262554	ENSP00000262554
YMR314W	ENSP00000315309	ENSP00000414359
YNL006W	ENSP00000301724	ENSP00000301724
YNL061W	ENSP00000313272	ENSP00000371858
YNL118C	ENSP00000373715	ENSP00000373715
YNL124W	ENSP00000274054	ENSP00000274054
YNL132W	ENSP00000257829	ENSP00000257829
YNL247W	ENSP00000369897	ENSP00000369897
YNL267W	ENSP00000271657	ENSP00000357869
YNL287W	ENSP00000325002	ENSP00000462407
YNL290W	ENSP00000229043	ENSP00000408295
YNR003C	ENSP00000366828	ENSP00000366828
YNR043W	ENSP00000301012	ENSP00000301012
YNR046W	ENSP00000309433	ENSP00000438349
YNR053C	ENSP00000362153	ENSP00000362153
YOL069W	ENSP00000271452	ENSP00000356875
YOL097C	ENSP00000347495	ENSP00000376620
YOL133W	ENSP00000216225	ENSP00000216225
YOR074C	ENSP00000315644	ENSP00000315644
YOR095C	ENSP00000283646	ENSP00000283646
YOR117W	ENSP00000298852	ENSP00000298852
YOR122C	ENSP00000322170	ENSP00000322170
YOR143C	ENSP00000353165	ENSP00000353165
YOR149C	ENSP00000238138	ENSP00000413405
YOR159C	ENSP00000356177	ENSP00000400591
YOR168W	ENSP00000307567	ENSP00000307567
YOR176W	ENSP00000372326	ENSP00000372326
YOR210W	ENSP00000324124	ENSP00000324124
YOR244W	ENSP00000340330	ENSP00000340330
YOR259C	ENSP00000216407	ENSP00000401802
YOR261C	ENSP00000219313	ENSP00000219313
YOR341W	ENSP00000263857	ENSP00000263857
YOR362C	ENSP00000216455	ENSP00000216455
YPL028W	ENSP00000265838	ENSP00000265838
YPL043W	ENSP00000223073	ENSP00000223073
YPL093W	ENSP00000353168	ENSP00000354040
YPL131W	ENSP00000359345	ENSP00000359345
YPL160W	ENSP00000377954	ENSP00000377954
YPL211W	ENSP00000254940	ENSP00000254940
YPL252C	ENSP00000377311	ENSP00000377311
YPL266W	ENSP00000199320	ENSP00000199320
YPR016C	ENSP00000363574	ENSP00000363559
YPR025C	ENSP00000256897	ENSP00000256897
YPR035W	ENSP00000356537	ENSP00000356537
YPR041W	ENSP00000216554	ENSP00000216554
YPR082C	ENSP00000269601	ENSP00000269601
YPR108W	ENSP00000295901	ENSP00000418695
YPR113W	ENSP00000219789	ENSP00000455042
YPR176C	ENSP00000317473	ENSP00000317473
YPR182W	ENSP00000266735	ENSP00000266735
YPR183W	ENSP00000360640	ENSP00000360640
YPR187W	ENSP00000385725	ENSP00000385725
YNR038W	ENSP00000380495	ENSP00000380495
YAL035W	ENSP00000289371	ENSP00000289371
YGL040C	ENSP00000363288	ENSP00000386284
YGR267C	ENSP00000363288	ENSP00000419045
YHR069C	ENSP00000361433	ENSP00000361433
YHR143W-A	ENSP00000342889	ENSP00000430106
YJR007W	ENSP00000256383	ENSP00000256383
YOR057W	ENSP00000367208	ENSP00000367208
YOR335C	ENSP00000261772	ENSP00000261772
YDR416W	ENSP00000351137	ENSP00000351137
YHL015W	ENSP00000009589	ENSP00000429374
YLR243W	ENSP00000228827	ENSP00000442770
YML092C	ENSP00000223321	ENSP00000223321
YMR301C	ENSP00000253577	ENSP00000253577
YOR278W	ENSP00000357787	ENSP00000357787
YDL097C	ENSP00000261712	ENSP00000261712
YHR027C	ENSP00000310129	ENSP00000310129
YAL032C	ENSP00000261531	ENSP00000451129
YBR002C	ENSP00000353104	ENSP00000353104
YBR004C	ENSP00000078527	ENSP00000078527
YDR397C	ENSP00000359295	ENSP00000359295
YER009W	ENSP00000219169	ENSP00000219169
YGL097W	ENSP00000381934	ENSP00000362937
YGL142C	ENSP00000164305	ENSP00000164305
YIL144W	ENSP00000261597	ENSP00000261597
YJL011C	ENSP00000378736	ENSP00000378736
YKL196C	ENSP00000223369	ENSP00000223369
YMR197C	ENSP00000376792	ENSP00000376792
YOL021C	ENSP00000366997	ENSP00000366997
YOR224C	ENSP00000296223	ENSP00000415536
YPL175W	ENSP00000369820	ENSP00000369820
YAL025C	ENSP00000353246	ENSP00000353246
YAL033W	ENSP00000350098	ENSP00000350098
YAR008W	ENSP00000305524	ENSP00000459387
YBL020W	ENSP00000296292	ENSP00000296292
YBL023C	ENSP00000265056	ENSP00000265056
YBL035C	ENSP00000265465	ENSP00000265465
YBL041W	ENSP00000262193	ENSP00000262193
YBL074C	ENSP00000380455	ENSP00000380455
YBL076C	ENSP00000364811	ENSP00000364794
YBL084C	ENSP00000066544	ENSP00000434614
YBL097W	ENSP00000240423	ENSP00000240423
YBR055C	ENSP00000266079	ENSP00000266079
YBR060C	ENSP00000234296	ENSP00000234296
YBR070C	ENSP00000359224	ENSP00000359224
YBR079C	ENSP00000358140	ENSP00000358140
YBR088C	ENSP00000368458	ENSP00000368438
YBR102C	ENSP00000353564	ENSP00000353564
YBR143C	ENSP00000353741	ENSP00000353741
YBR198C	ENSP00000358854	ENSP00000358854
YBR202W	ENSP00000307288	ENSP00000307288
YBR236C	ENSP00000372804	ENSP00000466111
YBR237W	ENSP00000346236	ENSP00000416534
YCL004W	ENSP00000262764	ENSP00000262764
YCL054W	ENSP00000337518	ENSP00000396673
YCR057C	ENSP00000291576	ENSP00000291576
YDL008W	ENSP00000383552	ENSP00000458515
YDL017W	ENSP00000234626	ENSP00000234626
YDL030W	ENSP00000362110	ENSP00000362110
YDL031W	ENSP00000304072	ENSP00000323858
YDL055C	ENSP00000309092	ENSP00000309092
YDL098C	ENSP00000274712	ENSP00000274712
YDL102W	ENSP00000375693	ENSP00000472445
YDL105W	ENSP00000358019	ENSP00000358019
YDL108W	ENSP00000256443	ENSP00000256443
YDL140C	ENSP00000314949	ENSP00000314949
YDL143W	ENSP00000377958	ENSP00000377958
YDL148C	ENSP00000315674	ENSP00000405068
YDL153C	ENSP00000254803	ENSP00000254803
YDL193W	ENSP00000357480	ENSP00000357480
YDL207W	ENSP00000308622	ENSP00000308622
YDR013W	ENSP00000262460	ENSP00000262460
YDR047W	ENSP00000246337	ENSP00000246337
YDR091C	ENSP00000296577	ENSP00000296577
YDR180W	ENSP00000282516	ENSP00000282516
YDR182W	ENSP00000339423	ENSP00000465894
YDR189W	ENSP00000379872	ENSP00000390783
YDR190C	ENSP00000318297	ENSP00000318297
YDR235W	ENSP00000348010	ENSP00000348010
YDR238C	ENSP00000249923	ENSP00000249923
YDR243C	ENSP00000310723	ENSP00000310723
YDR246W	ENSP00000351896	ENSP00000466692
YDR299W	ENSP00000225402	ENSP00000225402
YDR325W	ENSP00000251496	ENSP00000251496
YDR328C	ENSP00000231487	ENSP00000231487
YDR331W	ENSP00000359848	ENSP00000359848
YDR361C	ENSP00000357748	ENSP00000357748
YDR390C	ENSP00000246548	ENSP00000246548
YDR434W	ENSP00000309430	ENSP00000309430
YDR437W	ENSP00000333293	ENSP00000420037
YDR449C	ENSP00000261708	ENSP00000261708
YDR472W	ENSP00000316990	ENSP00000470262
YDR473C	ENSP00000315379	ENSP00000463536
YDR489W	ENSP00000276533	ENSP00000428754
YEL032W	ENSP00000229854	ENSP00000472940
YER003C	ENSP00000318318	ENSP00000318318
YER013W	ENSP00000262415	ENSP00000262415
YER021W	ENSP00000264639	ENSP00000264639
YER043C	ENSP00000217426	ENSP00000217426
YER093C	ENSP00000349959	ENSP00000296782
YER126C	ENSP00000296802	ENSP00000296802
YFL002C	ENSP00000238146	ENSP00000238146
YFL022C	ENSP00000320309	ENSP00000468051
YFR005C	ENSP00000312981	ENSP00000386864
YFR050C	ENSP00000290541	ENSP00000290541
YFR052W	ENSP00000215071	ENSP00000215071
YGL065C	ENSP00000238477	ENSP00000417764
YGL091C	ENSP00000283027	ENSP00000283027
YGL098W	ENSP00000263897	ENSP00000263897
YGL111W	ENSP00000278856	ENSP00000435726
YGL122C	ENSP00000251038	ENSP00000251038
YGL150C	ENSP00000355205	ENSP00000355205
YGL171W	ENSP00000268854	ENSP00000268854
YGL201C	ENSP00000264156	ENSP00000264156
YGL238W	ENSP00000262982	ENSP00000262982
YGR005C	ENSP00000351886	ENSP00000340823
YGR029W	ENSP00000248114	ENSP00000248114
YGR046W	ENSP00000273037	ENSP00000273037
YGR047C	ENSP00000263956	ENSP00000263956
YGR091W	ENSP00000324122	ENSP00000476631
YGR095C	ENSP00000221233	ENSP00000221233
YGR103W	ENSP00000334612	ENSP00000346725
YGR145W	ENSP00000371101	ENSP00000371101
YGR246C	ENSP00000329029	ENSP00000448323
YGR278W	ENSP00000387006	ENSP00000387006
YHR024C	ENSP00000360782	ENSP00000360782
YHR058C	ENSP00000256379	ENSP00000413343
YHR062C	ENSP00000277882	ENSP00000389182
YHR122W	ENSP00000299761	ENSP00000387471
YHR148W	ENSP00000326981	ENSP00000326981
YHR166C	ENSP00000378350	ENSP00000378350
YHR186C	ENSP00000307272	ENSP00000307272
YHR188C	ENSP00000279036	ENSP00000279036
YHR190W	ENSP00000220584	ENSP00000220584
YIL003W	ENSP00000262302	ENSP00000262302
YIL021W	ENSP00000219252	ENSP00000219252
YIL022W	ENSP00000270538	ENSP00000270538
YIL031W	ENSP00000359031	ENSP00000402527
YIL046W	ENSP00000281708	ENSP00000281708
YIL061C	ENSP00000221448	ENSP00000472998
YIL091C	ENSP00000355987	ENSP00000419005
YIL143C	ENSP00000285398	ENSP00000285398
YIR008C	ENSP00000350491	ENSP00000350491
YJL008C	ENSP00000286788	ENSP00000286788
YJL010C	ENSP00000267425	ENSP00000267425
YJL014W	ENSP00000357244	ENSP00000295688
YJL072C	ENSP00000253462	ENSP00000253462
YJL109C	ENSP00000355541	ENSP00000355541
YJL125C	ENSP00000299201	ENSP00000374399
YJL167W	ENSP00000349078	ENSP00000357340
YJR002W	ENSP00000244230	ENSP00000244230
YJR013W	ENSP00000357069	ENSP00000357069
YJR064W	ENSP00000280326	ENSP00000280326
YJR068W	ENSP00000296273	ENSP00000296273
YJR072C	ENSP00000264718	ENSP00000264718
YJR141W	ENSP00000237186	ENSP00000358762
YKL018W	ENSP00000296490	ENSP00000296490
YKL019W	ENSP00000303423	ENSP00000303423
YKL022C	ENSP00000348554	ENSP00000348554
YKL045W	ENSP00000374139	ENSP00000475738
YKL082C	ENSP00000361092	ENSP00000361092
YKL095W	ENSP00000262962	ENSP00000262962
YKL099C	ENSP00000362105	ENSP00000362105
YKL125W	ENSP00000198767	ENSP00000198767
YKL154W	ENSP00000273406	ENSP00000418401
YKL165C	ENSP00000350263	ENSP00000350263
YKL192C	ENSP00000007516	ENSP00000007516
YKR062W	ENSP00000348168	ENSP00000348168
YKR063C	ENSP00000363944	ENSP00000363944
YKR086W	ENSP00000268482	ENSP00000268482
YLL011W	ENSP00000297579	ENSP00000297579
YLL018C	ENSP00000264161	ENSP00000264161
YLL034C	ENSP00000281701	ENSP00000281701
YLL036C	ENSP00000227524	ENSP00000227524
YLR009W	ENSP00000260443	ENSP00000260443
YLR060W	ENSP00000281828	ENSP00000281828
YLR066W	ENSP00000264597	ENSP00000427463
YLR103C	ENSP00000385240	ENSP00000405726
YLR105C	ENSP00000385976	ENSP00000284995
YLR115W	ENSP00000298875	ENSP00000298875
YLR116W	ENSP00000366604	ENSP00000366604
YLR127C	ENSP00000314004	ENSP00000314004
YLR129W	ENSP00000308179	ENSP00000308179
YLR166C	ENSP00000342100	ENSP00000389934
YLR175W	ENSP00000377168	ENSP00000472996
YLR196W	ENSP00000258531	ENSP00000387365
YLR197W	ENSP00000370589	ENSP00000370589
YLR274W	ENSP00000216122	ENSP00000216122
YLR409C	ENSP00000319771	ENSP00000423067
YLR424W	ENSP00000384421	ENSP00000384421
YML010W	ENSP00000384505	ENSP00000470252
YML025C	ENSP00000253099	ENSP00000253099
YML049C	ENSP00000305790	ENSP00000305790
YMR061W	ENSP00000315791	ENSP00000315791
YMR128W	ENSP00000311135	ENSP00000311135
YMR131C	ENSP00000253237	ENSP00000253237
YMR146C	ENSP00000362688	ENSP00000362688
YMR218C	ENSP00000291574	ENSP00000291574
YMR290C	ENSP00000263239	ENSP00000263239
YNL026W	ENSP00000379505	ENSP00000345445
YNL062C	ENSP00000203001	ENSP00000203001
YNL075W	ENSP00000259239	ENSP00000259239
YNL110C	ENSP00000285814	ENSP00000285814
YNL178W	ENSP00000278572	ENSP00000278572
YNL221C	ENSP00000385787	ENSP00000385787
YNL260C	ENSP00000279147	ENSP00000446428
YNL261W	ENSP00000297431	ENSP00000297431
YNL262W	ENSP00000322570	ENSP00000322570
YNL313C	ENSP00000313953	ENSP00000313953
YNR054C	ENSP00000274849	ENSP00000468826
YOL010W	ENSP00000371169	ENSP00000371169
YOL102C	ENSP00000314073	ENSP00000378050
YOL135C	ENSP00000286317	ENSP00000286317
YOL146W	ENSP00000318196	ENSP00000401018
YOR004W	ENSP00000308332	ENSP00000308332
YOR048C	ENSP00000366396	ENSP00000366396
YOR056C	ENSP00000268802	ENSP00000268802
YOR103C	ENSP00000250498	ENSP00000250498
YOR119C	ENSP00000264874	ENSP00000369162
YOR194C	ENSP00000298173	ENSP00000452454
YOR206W	ENSP00000317992	ENSP00000317992
YOR217W	ENSP00000371321	ENSP00000371321
YOR250C	ENSP00000304704	ENSP00000433406
YOR254C	ENSP00000357998	ENSP00000357998
YOR257W	ENSP00000283122	ENSP00000428259
YOR260W	ENSP00000353575	ENSP00000353575
YOR262W	ENSP00000363250	ENSP00000363250
YOR287C	ENSP00000244496	ENSP00000244496
YOR310C	ENSP00000264279	ENSP00000264279
YPL012W	ENSP00000360031	ENSP00000360031
YPL020C	ENSP00000327197	ENSP00000327197
YPL063W	ENSP00000318115	ENSP00000318115
YPL082C	ENSP00000265990	ENSP00000265990
YPL083C	ENSP00000327487	ENSP00000327487
YPL151C	ENSP00000377483	ENSP00000424417
YPL217C	ENSP00000363642	ENSP00000363642
YPL235W	ENSP00000221413	ENSP00000473172
YPL243W	ENSP00000312066	ENSP00000312066
YPR048W	ENSP00000360576	ENSP00000360576
