PRO ID 	PRO Name 	PRO Term Definition 	Category 	Parent 	

PR:000005195	cell division cycle protein 27	A protein that is a translation product of the human CDC27 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005190	cell division cycle protein 23	A protein that is a translation product of the human CDC23 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005187	cell division cycle protein 16	A protein that is a translation product of the human CDC16 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000005157	T-complex protein 1 subunit theta	A protein that is a translation product of the human CCT8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351
PR:000005153	T-complex protein 1 subunit epsilon	A protein that is a translation product of the human CCT5 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351
PR:000005152	T-complex protein 1 subunit delta	A protein that is a translation product of the human CCT4 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351
PR:000005151	T-complex protein 1 subunit gamma	A protein that is a translation product of the human CCT3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351
PR:000004835	TATA-binding protein-associated factor 172	A protein that is a translation product of the human BTAF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000004812	transcription factor IIIB 90 kDa subunit	A protein that is a translation product of the human BRF1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000004776	ribosome biogenesis protein BMS1	A protein that is a translation product of the human BMS1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000004684	BRCA2 and CDKN1A-interacting protein	A protein that is a translation product of the human BCCIP gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000004016	anaphase-promoting complex subunit 2	A protein that is a translation product of the human ANAPC2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000004014	anaphase-promoting complex subunit 11	A RING-box protein that is a translation product of the human ANAPC11 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000004
PR:000003943	alpha-1,3/1,6-mannosyltransferase ALG2	A protein that is a translation product of the human ALG2 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003942	UDP-N-acetylglucosamine transferase subunit ALG14	A protein that is a translation product of the human ALG14 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003854	adenosylhomocysteinase	A protein that is a translation product of the human AHCY gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003591	activator of basal transcription 1	A protein that is a translation product of the human ABT1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003568	ATP-binding cassette sub-family E member 1	A protein that is a translation product of the human ABCE1 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000003534	protein AATF	A protein that is a translation product of the human AATF gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
PR:000002340	proteasome subunit beta type-4 isoform 1	A proteasome subunit beta type-4 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:P28070-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002209
PR:000002209	proteasome subunit beta type-4	A protein that is a translation product of the human PSMB4 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001
PR:000000181	S-phase kinase-associated protein 1A isoform 2	An S-phase kinase-associated protein 1A 1 that is a translation product of a mature transcript of the SKP1 gene lacking the most 3' coding exon. Example: UniProtKB:P63208-2. [PRO:CNA]	sequence	PR:000000045
PR:000000180	S-phase kinase-associated protein 1A isoform 1	An S-phase kinase-associated protein 1A that is a translation product of a mature transcript of the SKP1 gene including the five coding exons. Example: UniProtKB:P63208-1. [PRO:CNA]	sequence	PR:000000045
PR:000000045	S-phase kinase-associated protein 1A	An E3 ubiquitin ligase SFC complex Skp1 subunit that is a translation product of the human SKP1 gene or a 1:1 ortholog thereof. This gene has 5 conserved protein coding exons. [PRO:CNA]	gene	PR:000000002

PR:000007165	TFIIH basal transcription factor complex helicase XPB subunit	A protein that is a translation product of the human ERCC3 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001
