PRO ID 	Category 	UniProtKB ID 	

PR:000003534	gene	Q06631; Q55E65; Q5ZIM6; Q9FLK0; Q9GUM5; Q9JKX4; Q9NY61; Q9QYW0; Q9US05; Q9VM95
PR:000003529	gene	O01541; O13914; P36428; P40825; P49588; Q1LVL3; Q54Y20; Q8BGQ7; Q9VLM8
PR:000002340	sequence	P28070-1; P99026-1
PR:000002339	sequence	P40307-1; P49721-1; Q9R1P3-1
PR:000002257	sequence	Q15008-1; Q99JI4-1; Q9V3G7-1
PR:000002250	sequence	Q13200-1; Q4FZT9-1; Q8VDM4-1
PR:000002248	sequence	B0BN93-1; P84169-1; Q9UNM6-1; Q9WVJ2-1
PR:000002247	sequence	O00232-1; Q9D8W5-1
PR:000002246	sequence	F1LMZ8-1; O00231-1; Q8BG32-1
PR:000002245	sequence	Q99460-2
PR:000002244	sequence	Q3TXS7-1; Q99460-1
PR:000002209	gene	A8E7N8; H9L0U6; P28070; P30657; P34067; P90868; P99026; Q556Q0; Q7DLR9; Q9USQ9; Q9VNA5
PR:000002208	gene	P22141; P40307; P49721; P91477; Q09720; Q55DY7; Q6DHI9; Q9R1P3; Q9VJJ0
PR:000002182	gene	F1QZA5; Q06103; Q10335; Q15008; Q20585; Q55C75; Q6PCT9; Q93Y35; Q99JI4; Q9V3G7
PR:000002180	gene	F1R334; P38764; P87048; Q13200; Q4FZT9; Q54BC6; Q8VDM4; Q9GZH5; Q9SIV2; Q9VW54
PR:000002179	gene	B0BN93; P84169; Q04062; Q22253; Q54NQ0; Q7KMP8; Q9UNM6; Q9US13; Q9WVJ2
PR:000002178	gene	F1NPQ0; O00232; Q12250; Q19324; Q54UJ0; Q5XIC6; Q8AW07; Q9D8W5; Q9UTM3; Q9V3Z4
PR:000002177	gene	F1LMZ8; F6P3G4; O00231; Q12377; Q20938; Q54UB5; Q7KLV9; Q8BG32; Q9LP45; Q9P7S2
PR:000002176	gene	F1QY43; O74762; O88761; P32565; Q18115; Q3TXS7; Q54JM5; Q5F418; Q99460; Q9V3P6
PR:000000181	sequence	P63208-2
PR:000000180	sequence	P63208-1; Q5ZKF5-1; Q6PEC4-1; Q9WTX5-1
PR:000000177	sequence	P62877-1; P62878-1
PR:000000045	gene	G5ECU1; O77430; P52286; P63208; Q5ZKF5; Q6PBY8; Q6PEC4; Q9WTX5; Q9Y709
PR:000000043	gene	A4FUL3; E1BSR9; O13959; P62877; P62878; Q08273; Q23457; Q498D8; Q54K33; Q9W5E1

PR:000005157	gene	P42932; P47079; P50990; P78921; Q552J0; Q6EE31; Q7K3J0; Q7ZU96; Q94K05; Q9N358
PR:000005153	gene	O04450; P40413; P47209; P48643; P80316; Q54TD3; Q68FQ0; Q6NVI6; Q7KKI0; Q9UTM4
PR:000005152	gene	P39078; P47208; P50991; P50999; P80315; Q54CL2; Q6PH46; Q7TPB1; Q9I8D6; Q9LV21; Q9VK69
PR:000005151	gene	O74341; P39077; P48605; P49368; P80318; Q54TH8; Q6P502; Q7T2P2; Q84WV1; Q9N4J8
PR:000005130	gene	A2BGI0; E1C948; O76513; P36613; P37366; P51946; Q55F19; Q61458; Q8W5S1; Q9N4U0; Q9R1A0
PR:000005045	gene	O76618; P49589; P53852; Q09860; Q54KR1; Q5F408; Q7KN90; Q9ER72
PR:000004862	gene	F1R7L3; O54825; O60071; P38333; P51406; Q13895; Q20932; Q54IS0; Q80WL2; Q8RWS4
PR:000004861	gene	O14180; P38805; P54073; Q54MN3; Q5RJS9; Q6IQU6; Q7TND5; Q9H9Y2; Q9M125; Q9VKB4
PR:000004835	gene	E9QAE3; F1Q603; G5EF07; O14981; O43065; P32333; Q54M42; Q9VF02
