HomoloGene ID,mouse_id,mouse_symbol,yeast_eg,yeast_symbol
6,110446,Acat1,856079,ERG10
12,11564,Adsl,851073,ADE13
16,17025,Alad,852842,HEM2
17,11656,Alas2,851818,HEM1
29,11846,Arg1,855993,CAR1
32,109900,Asl,856411,ARG4
35,11977,Atp7a,851862,CCC2
76,12892,Cpox,851614,HEM13
77,12896,Cpt2,851285,YAT1
84,13382,Dld,850527,LPD1
96,13872,Ercc3,854663,SSL2
100,110842,Etfa,856112,AIM45
113,14151,Fech,854347,HEM15
115,14194,Fh1,855866,FUM1
126,14430,Galt,852306,GAL7
129,74185,Gbe1,856705,GLC3
132,14528,Gch1,853183,FOL2
141,104174,Gldc,855227,GCV2
145,14751,Gpi1,852495,PGI1
148,14854,Gss,854108,GSH2
149,17688,Msh6,851671,MSH6
158,15288,Hmbs,851322,HEM3
197,16881,Lig1,851391,CDC9
208,17350,Mlh1,855203,MLH1
210,17685,Msh2,854063,MSH2
228,18145,Npc1,856101,NCR1
231,18242,Oat,851158,CAR2
257,54128,Pmm2,850499,SEC53
262,19044,Ppox,856733,HEM14
320,22275,Urod,851617,HEM12
330,104184,Blmh,855482,LAP3
331,57279,Slc25a20,854267,CRC1
344,13871,Ercc2,856918,RAD3
358,15488,Hsd17b4,853878,FOX2
372,17855,Mvk,855248,ERG12
392,20655,Sod1,853568,SOD1
409,434437,Amt,851582,GCV1
413,11821,Aprt,854986,APT1
446,18416,Otc,853357,ARG3
530,20656,Sod2,856399,SOD2
531,14782,Gsr,856014,GLR1
536,77559,Agl,856314,GDB1
542,268860,Abat,852902,UGA1
554,269378,Ahcy,856766,SAH1
598,12908,Crat,854965,CAT2
637,14450,Gart,852617,ADE5,7
665,14923,Guk1,852065,GUK1
712,68263,Pdhb,852522,PDB1
721,20020,Polr2a,851415,RPO21
722,231329,Polr2b,854322,RPB2
725,18984,Por,856438,NCP1
726,19035,Ppib,851898,CPR5
727,19038,Ppic,856454,CPR2
730,19075,Prim1,854825,PRI1
731,19076,Prim2,853821,PRI2
747,27367,Rpl3,854229,RPL3
766,19946,Rpl30,852853,RPL30
779,27050,Rps3,855543,RPS3
783,20103,Rps5,853587,RPS5
834,22171,Tyms,854241,CDC21
840,214579,Aldh5a1,852291,UGA2
856,11429,Aco2,851013,ACO1
908,192662,Arhgdia,851420,RDI1
975,12649,Chek1,852577,CHK1
981,66411,Tbcb,855574,ALF1
1006,110750,Cse1l,852612,CSE1
1014,228410,Cstf3,855083,RNA14
1032,226414,Dars,850643,DPS1
1040,13204,Dhx15,852757,PRP43
1045,245474,Dkc1,850872,CBF5
1058,13478,Dpagt1,852545,ALG7
1059,116905,Dph1,854703,DPH1
1060,67728,Dph2,853643,DPH2
1061,13495,Drg2,853083,RBG2
1080,209354,Eif2b1,853896,GCN3
1099,14113,Fbl,851548,NOP1
1148,14629,Gclc,853344,GSH1
1158,229906,Gtf2b,856201,SUA7
1159,23894,Gtf2h2,850691,SSL1
1160,209357,Gtf2h3,856169,TFB4
1161,72308,Brf1,853161,BRF1
1213,234734,Aars,854513,ALA1
1227,11637,Ak2,851812,ADK1
1256,11845,Arf6,854261,ARF3
1273,11947,Atp5b,853585,ATP2
1279,11966,Atp6v1b2,852424,VMA2
1281,66335,Atp6v1c1,853782,VMA5
1282,11973,Atp6v1e1,854509,VMA4
1283,28080,Atp5o,851892,ATP5
1328,27267,Cars,855474,YNL247W
1336,12466,Cct6a,851768,CCT6
1352,72269,Cda,850946,CDD1
1354,235072,Sept7,851024,CDC3
1363,12572,Cdk7,851450,KIN28
1412,69719,Cad,853311,URA2
1432,107869,Cth,851221,CYS3
1453,330817,Dhps,856465,DYS1
1456,78920,Dlst,851726,KGD2
1480,55949,Eef1b2,851260,EFB1
1503,110826,Etfb,853121,CIR1
1519,110196,Fdps,853272,ERG20
