PRO ID 	PRO Name 	PRO Term Definition 	Category 	Parent 	Ortho isoform 	

PR:000003534	protein AATF	A protein that is a translation product of the human AATF gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	
PR:000003529	alanine--tRNA ligase, cytoplasmic	A protein that is a translation product of the human AARS gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000000001	
PR:000002340	proteasome subunit beta type-4 isoform 1	A proteasome subunit beta type-4 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:P28070-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002209	Yes
PR:000002339	proteasome subunit beta type-2 isoform 1	A proteasome subunit beta type-2 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:P49721-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002208	Yes
PR:000002257	26S proteasome non-ATPase regulatory subunit 6 isoform 1	A 26S proteasome non-ATPase regulatory subunit 6 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q99JI4-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002182	Yes
PR:000002250	26S proteasome non-ATPase regulatory subunit 2 isoform 1	A 26S proteasome non-ATPase regulatory subunit 2 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q8VDM4-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002180	Yes
PR:000002248	26S proteasome non-ATPase regulatory subunit 13 isoform 1	A 26S proteasome non-ATPase regulatory subunit 13 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q9UNM6-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002179	Yes
PR:000002247	26S proteasome non-ATPase regulatory subunit 12 isoform 1	A 26S proteasome non-ATPase regulatory subunit 12 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:O00232-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002178	Yes
PR:000002246	26S proteasome non-ATPase regulatory subunit 11 isoform 1	A 26S proteasome non-ATPase regulatory subunit 11 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q8BG32-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002177	Yes
PR:000002245	26S proteasome non-ATPase regulatory subunit 1 isoform 2	A 26S proteasome non-ATPase regulatory subunit 1 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q99460-2 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002176	Yes
PR:000002244	26S proteasome non-ATPase regulatory subunit 1 isoform 1	A 26S proteasome non-ATPase regulatory subunit 1 that is a translation product of some mRNA giving rise to a protein with the amino acid sequence represented by UniProtKB:Q99460-1 or a 1:1 ortholog thereof. [PRO:JAN]	sequence	PR:000002176	Yes
PR:000002209	proteasome subunit beta type-4	A protein that is a translation product of the human PSMB4 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002208	proteasome subunit beta type-2	A protein that is a translation product of the human PSMB2 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002182	26S proteasome non-ATPase regulatory subunit 6	A protein that is a translation product of the human PSMD6 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002180	26S proteasome non-ATPase regulatory subunit 2	A protein that is a translation product of the human PSMD2 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002179	26S proteasome non-ATPase regulatory subunit 13	A protein that is a translation product of the human PSMD13 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002178	26S proteasome non-ATPase regulatory subunit 12	A protein that is a translation product of the human PSMD12 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002177	26S proteasome non-ATPase regulatory subunit 11	A protein that is a translation product of the human PSMD11 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000002176	26S proteasome non-ATPase regulatory subunit 1	A protein that is a translation product of the human PSMD1 gene or a 1:1 ortholog thereof. [PRO:WCB]	gene	PR:000000001	Yes
PR:000000181	S-phase kinase-associated protein 1A isoform 2	An S-phase kinase-associated protein 1A 1 that is a translation product of a mature transcript of the SKP1 gene lacking the most 3' coding exon. Example: UniProtKB:P63208-2. [PRO:CNA]	sequence	PR:000000045	Yes
PR:000000180	S-phase kinase-associated protein 1A isoform 1	An S-phase kinase-associated protein 1A that is a translation product of a mature transcript of the SKP1 gene including the five coding exons. Example: UniProtKB:P63208-1. [PRO:CNA]	sequence	PR:000000045	Yes
PR:000000177	E3 ubiquitin-protein ligase RBX1 isoform 1	An E3 ubiquitin-protein ligase RBX1 that is a translation product of a mature transcript of the RBX1 gene, comprising the core domains. Example: UniProtKB:P62877-1. [PRO:CNA]	sequence	PR:000000043	Yes
PR:000000045	S-phase kinase-associated protein 1A	An E3 ubiquitin ligase SFC complex Skp1 subunit that is a translation product of the human SKP1 gene or a 1:1 ortholog thereof. This gene has 5 conserved protein coding exons. [PRO:CNA]	gene	PR:000000002	Yes
PR:000000043	E3 ubiquitin-protein ligase RBX1	An E3 ubiquitin-protein ligase RBX1 related protein that is a translation product of the human RBX1 gene or a 1:1 ortholog thereof. [PRO:CNA]	gene	PR:000027961	Yes

PR:000005157	T-complex protein 1 subunit theta	A protein that is a translation product of the human CCT8 gene or a 1:1 ortholog thereof. [PRO:DNx]	gene	PR:000025351	Yes
